,base,equity,message,realised_pnl,total_commission,unrealised_pnl
2010-09-23,1000000.0,766390.5722105467,MTM,-196201.4711099471,6.0,-37401.956679506206
2010-09-24,1000000.0,816260.0179188456,MTM,-196201.4711099471,6.0,12467.489028792743
2010-09-27,1000000.0,802642.1742994982,MTM,-196201.4711099471,6.0,-1150.3545905547437
2010-09-28,1000000.0,814230.7468777532,MTM,-196201.4711099471,6.0,10438.217987700262
2010-09-29,1000000.0,808018.0681519145,MTM,-196201.4711099471,6.0,4225.539261861576
2010-09-30,1000000.0,800633.842491161,MTM,-196201.4711099471,6.0,-3158.686398891943
2010-10-01,1000000.0,811176.7545508065,MTM,-196201.4711099471,6.0,7384.225660753519
2010-10-04,1000000.0,791911.0685321536,MTM,-196201.4711099471,6.0,-11881.460357899316
2010-10-05,1000000.0,841529.2497228828,MTM,-196201.4711099471,6.0,37736.72083282987
2010-10-06,1000000.0,839897.5605333798,MTM,-196201.4711099471,6.0,36105.0316433269
2010-10-07,1000000.0,835902.3465563328,MTM,-196201.4711099471,6.0,32109.817666279803
2010-10-08,1000000.0,850733.3582808384,MTM,-196201.4711099471,6.0,46940.829390785475
2010-10-11,1000000.0,851088.8064634813,MTM,-196201.4711099471,6.0,47296.27757342841
2010-10-12,1000000.0,860397.6111852134,MTM,-196201.4711099471,6.0,56605.08229516041
2010-10-13,1000000.0,877822.4750739088,MTM,-196201.4711099471,6.0,74029.94618385588
2010-10-14,1000000.0,868848.6918007677,MTM,-196201.4711099471,6.0,65056.16291071477
2010-10-15,1000000.0,873827.0038015946,MTM,-196201.4711099471,6.0,70034.47491154158
2010-10-18,1000000.0,891649.4495418795,MTM,-196201.4711099471,6.0,87856.92065182656
2010-10-19,1000000.0,852302.2318639067,MTM,-196201.4711099471,6.0,48509.702973853804
2010-10-20,1000000.0,877969.0455195335,MTM,-196201.4711099471,6.0,74176.51662948045
2010-10-21,1000000.0,882340.9021154147,MTM,-196201.4711099471,6.0,78548.37322536176
2010-10-22,1000000.0,888239.7538288537,MTM,-196201.4711099471,6.0,84447.22493880086
2010-10-25,1000000.0,893553.0872782714,MTM,-196201.4711099471,6.0,89760.55838821856
2010-10-26,1000000.0,893594.9657437821,MTM,-196201.4711099471,6.0,89802.43685372912
2010-10-27,1000000.0,886921.8895599191,MTM,-196201.4711099471,6.0,83129.36066986629
2010-10-28,1000000.0,889704.188543413,MTM,-196201.4711099471,6.0,85911.65965336001
2010-10-29,1000000.0,888616.396447688,MTM,-196201.4711099471,6.0,84823.8675576351
2010-11-01,1000000.0,890959.2372059129,MTM,-196201.4711099471,6.0,87166.70831585996
2010-11-02,1000000.0,910183.0447590553,MTM,-196201.4711099471,6.0,106390.51586900222
2010-11-03,1000000.0,919366.2161760867,MTM,-196201.4711099471,6.0,115573.68728603375
2010-11-04,1000000.0,967687.7275340726,MTM,-196201.4711099471,6.0,163895.19864401963
2010-11-05,1000000.0,977707.4265292593,MTM,-196201.4711099471,6.0,173914.89763920632
2010-11-08,1000000.0,972268.714978577,MTM,-196201.4711099471,6.0,168476.18608852415
2010-11-09,1000000.0,951664.2254582344,MTM,-196201.4711099471,6.0,147871.69656818145
2010-11-10,1000000.0,962771.7186409772,MTM,-196201.4711099471,6.0,158979.18975092424
2010-11-11,1000000.0,951957.1132378787,MTM,-196201.4711099471,6.0,148164.58434782576
2010-11-12,1000000.0,921981.0054812006,MTM,-196201.4711099471,6.0,118188.47659114763
2010-11-15,1000000.0,918927.0131542537,MTM,-196201.4711099471,6.0,115134.48426420089
2010-11-16,1000000.0,878324.4937021764,MTM,-196201.4711099471,6.0,74531.96481212338
2010-11-17,1000000.0,878847.4515631992,MTM,-196201.4711099471,6.0,75054.92267314615
2010-11-18,1000000.0,916709.5484054623,MTM,-196201.4711099471,6.0,112917.0195154093
2010-11-19,1000000.0,923068.7975769254,MTM,-196201.4711099471,6.0,119276.26868687254
2010-11-22,1000000.0,919115.2068619529,MTM,-196201.4711099471,6.0,115322.6779719
2010-11-23,1000000.0,883324.0001391944,MTM,-196201.4711099471,6.0,79531.47124914148
2010-11-24,1000000.0,920182.0618167537,MTM,-196201.4711099471,6.0,116389.53292670083
2010-11-26,1000000.0,901460.2708000477,MTM,-196201.4711099471,6.0,97667.74190999486
2010-11-29,1000000.0,898029.637946098,MTM,-196201.4711099471,6.0,94237.10905604508
2010-11-30,1000000.0,882947.6148156273,MTM,-196201.4711099471,6.0,79155.08592557447
2010-12-01,1000000.0,936330.9378101941,MTM,-196201.4711099471,6.0,132538.40892014108
2010-12-02,1000000.0,968670.8255578523,MTM,-196201.4711099471,6.0,164878.29666779935
2010-12-03,1000000.0,975322.7073055239,MTM,-196201.4711099471,6.0,171530.1784154709
2010-12-06,1000000.0,971996.766431688,MTM,-196201.4711099471,6.0,168204.23754163514
2010-12-07,1000000.0,973314.6307006226,MTM,-196201.4711099471,6.0,169522.1018105697
2010-12-08,1000000.0,982790.6878054672,MTM,-196201.4711099471,6.0,178998.15891541433
2010-12-09,1000000.0,992664.0715584654,MTM,-196201.4711099471,6.0,188871.54266841247
2010-12-10,1000000.0,1008143.6744486942,MTM,-196201.4711099471,6.0,204351.14555864138
2010-12-13,1000000.0,1008269.0525499588,MTM,-196201.4711099471,6.0,204476.52365990586
2010-12-14,1000000.0,1010632.832540939,MTM,-196201.4711099471,6.0,206840.303650886
2010-12-15,1000000.0,997328.8138421598,MTM,-196201.4711099471,6.0,193536.28495210691
2010-12-16,1000000.0,1013310.4374524875,MTM,-196201.4711099471,6.0,209517.90856243452
2010-12-17,1000000.0,1015486.0237357685,MTM,-196201.4711099471,6.0,211693.49484571556
